Index,Code,Diagram
1,"// SPDX-License-Identifier: GPL-2.0 #include <linux/bpf.h> #include <bpf/bpf_helpers.h>  SEC(""xdp"") int xdp_prog(struct xdp_md *ctx) { return XDP_DROP; // Drop all packets }  char LICENSE[] SEC(""license"") = ""GPL"";",graph TD A[ <b> xdp_prog </b> <br> ctx -> 8 <br> Total: 8 ]
2,"// SPDX-License-Identifier: GPL-2.0 #include <linux/bpf.h> #include <bpf/bpf_helpers.h>  SEC(""xdp"") int xdp_prog(struct xdp_md *ctx) { __u8 variable = 5; variable += 4; return XDP_DROP; // Drop all packets }  char LICENSE[] SEC(""license"") = ""GPL"";",graph TD A[ <b> xdp_prog </b> <br> ctx -> 8 <br> variable -> 1 <br> Total: 9 ]
3,"// SPDX-License-Identifier: GPL-2.0 #include <linux/bpf.h> #include <bpf/bpf_helpers.h>  SEC(""xdp"") int xdp_prog(struct xdp_md *ctx) { __u16 variable = 5; variable += 12; return XDP_DROP; // Drop all packets }  char LICENSE[] SEC(""license"") = ""GPL"";",graph TD A[ <b> xdp_prog </b> <br> ctx -> 8 <br> variable -> 2 <br> Total: 10 ]
4,"// SPDX-License-Identifier: GPL-2.0 #include <linux/bpf.h> #include <bpf/bpf_helpers.h>  SEC(""xdp"") int xdp_prog(struct xdp_md *ctx) { __u64 variable = 0; variable += 50; return XDP_DROP; // Drop all packets }  char LICENSE[] SEC(""license"") = ""GPL"";",graph TD A[ <b> xdp_prog </b> <br> ctx -> 8 <br> variable -> 8 <br> Total: 16 ]
5,"// SPDX-License-Identifier: GPL-2.0 #include <linux/bpf.h> #include <bpf/bpf_helpers.h>  SEC(""xdp"") int xdp_prog(struct xdp_md *ctx) { __u32 variable = 100; variable += 51; return XDP_DROP; // Drop all packets }  char LICENSE[] SEC(""license"") = ""GPL"";",graph TD A[ <b> xdp_prog </b> <br> ctx -> 8 <br> variable -> 4 <br> Total: 12 ]
6,"// SPDX-License-Identifier: GPL-2.0 #include <linux/bpf.h> #include <bpf/bpf_helpers.h>  SEC(""xdp"") int xdp_prog(struct xdp_md *ctx) { __u8 variable1 = 5; __u64 variable2; variable2 = 5 + variable1; return XDP_DROP; // Drop all packets }  char LICENSE[] SEC(""license"") = ""GPL"";",graph TD A[ <b> xdp_prog </b> <br> ctx -> 8 <br> variable1 -> 1 + 7 <br> variable2 -> 8 <br> Total: 24 ]
7,"// SPDX-License-Identifier: GPL-2.0 #include <linux/bpf.h> #include <bpf/bpf_helpers.h>  SEC(""xdp"") int xdp_prog(struct xdp_md *ctx) { __u8 variable1 = 1; __u64 variable2; __u32 a = 20; if(a > variable1) { variable2 = 5 + variable1; } return XDP_DROP; // Drop all packets }  char LICENSE[] SEC(""license"") = ""GPL"";",graph TD A[ <b> xdp_prog </b> <br> ctx -> 8 <br> variable1 -> 1 + 7 <br> variable2 -> 8 <br> a -> 4 <br> Total: 28 ]
8,"// SPDX-License-Identifier: GPL-2.0 #include <linux/bpf.h> #include <bpf/bpf_helpers.h>  SEC(""xdp"") int xdp_prog(struct xdp_md *ctx) { __u8 variable1 = 1; __u64 variable2; __u32 a = 20; if(a > variable1) { variable2 = 5 + variable1; __u32 b = a; b *= 123; if(b > 1000) { __u8 c = 1; } } return XDP_DROP; // Drop all packets }  char LICENSE[] SEC(""license"") = ""GPL"";",graph TD A[ <b> xdp_prog </b> <br> ctx -> 8 <br> variable1 -> 1 + 7 <br> variable2 -> 8 <br> a -> 4 <br> b -> 4 <br> c -> 1 <br> Total: 33 ]
9,"// SPDX-License-Identifier: GPL-2.0 #include <linux/bpf.h> #include <bpf/bpf_helpers.h>  SEC(""xdp"") int xdp_prog(struct xdp_md *ctx) { __u8 variable1 = 1; __u16 variable2; __u32 a = 20; if(a > variable1) { variable2 = 5 + variable1; __u32 b = a; b *= 123; if(b > 1000) { __u8 c = 1; } } return XDP_DROP; // Drop all packets }  char LICENSE[] SEC(""license"") = ""GPL"";",graph TD A[ <b> xdp_prog </b> <br> ctx -> 8 <br> variable1 -> 1 + 1 <br> variable2 -> 2 <br> a -> 4 <br> b -> 4 <br> c -> 1 <br> Total: 21 ]
10,"// SPDX-License-Identifier: GPL-2.0 #include <linux/bpf.h> #include <bpf/bpf_helpers.h>  SEC(""xdp"") int xdp_prog(struct xdp_md *ctx) { __u32 this = 1; __u8 value = 0; this += -1; if(this > value) { value = 5 + this; __u32 testing = 123; testing *= 123; if(this > 1000) { testing = 1; } } __u8 a = 20; a += this; return XDP_DROP; // Drop all packets }  char LICENSE[] SEC(""license"") = ""GPL"";",graph TD A[ <b> xdp_prog </b> <br> ctx -> 8 <br> this -> 4 <br> value -> 1 + 3 <br> testing -> 4 <br> a -> 1 <br> Total: 21 ]
